Stop,StopTranslated,Fish,FishTranslated,Fish-CN,Fish-KR,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialType,BaitMoochType,BaitMoochType,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Route12
Galadion,Galadion Bay,Galadion Goby,Galadion Goby,加拉迪翁虾虎,갈라디온 망둥이,4 - 8,4 - 8,4 - 8,6 - 12,,,,,,,Ragworm,Ragworm,10,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Rain,Rain,Showers,Showers,,,,1,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,T!Galadion Chovy,Galadion Chovy,T!加拉迪翁鳀鱼,T!갈라디온 멸치,6 - 11,6 - 11,6 - 11,8 - 14,,,,,,,Krill,Krill,11,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Rain,Rain,Showers,Showers,,,,1,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,Leopard Eel,Leopard Eel,猎豹鳗,범무늬장어,9 - 17,9 - 17,9 - 17,12 - 19,,,,,,,Plump Worm,Plump Worm,14,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,No,No,Yes,Rain,Rain,Showers,Showers,,,,1,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,Jasperhead,Jasperhead,碧玉头,벽옥머리,15 - 24,10 - 19,15 - 24,15 - 25,,,,,,,Krill,Krill,40,2,3,!!,Powerful,Powerful Hookset,Yes,No,No,Yes,Yes,Yes,Rain,Rain,Showers,Showers,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,Tarnished Shark,Tarnished Shark,暗淡鲨,변색상어,20 - 37,20 - 37,15 - 32,20 - 37,,,,,,,Plump Worm,Plump Worm,34,2,3,!!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,No,Yes,Rain,Rain,Showers,Showers,,,,2,S,Shark,Shark,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,Rosy Bream,Rosy Bream,玫瑰鲷鱼,장미도미,12 - 18 ,7 - 13,12 - 18,12 - 18,,,,,,,Krill,Krill,34,3 - 4,5 - 7,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Rain,Rain,Showers,Showers,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,Cyan Octopus,Cyan Octopus,青色章鱼,푸른문어,17 - 28,17 - 28,17 - 28,17 - 28,,,,,,,Krill,Krill,59,4,7,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Rain,Rain,Showers,Showers,,,,3,,Octopus,Octopus,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,Heavenswimmer,Heavenswimmer,天堂鱼,천상어,15 - 25,15 - 25,15 - 25,16 - 25,,,,,,,Ragworm,Ragworm,50,2,3,!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Rain,Rain,Showers,Showers,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,Spectral Megalodon,Spectral Megalodon,幻光巨齿鲨,유령 메갈로돈,20 - 37,20 - 37,20 - 37,21 - 37,,,,,,,Krill,Krill,100,1,1,!!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,No,Rain,Rain,Showers,Showers,,,,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,Galadion Bay,I!Drunkfish,Drunkfish,I!醉鱼,I!만취어,,15 - 28,,,,,,,,,Krill,Krill,253,1,1,!!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Rain,Rain,Showers,Showers,,,,4,,,,"(60s) x3 <img class=""iconMini"" src=""../img/fish/Galadion Chovy.png"" alt=""Galadion Chovy"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Galadion Chovy"" tabindex=""0"">",No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
