Stop,StopTranslated,Fish,FishTranslated,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialTypeTranslated,BaitMoochType,BaitMoochTypeTranslated,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Route12
Galadion,ガラディオン湾,Galadion Goby,ガラディオンゴビー,4 - 8,4 - 8,4 - 8,6 - 12,,,,,,,Ragworm,イワイソメ,10,2,3,!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Rain,雨,Showers,暴雨,,,,1,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,T!Galadion Chovy,ガラディオンアンチョビ,6 - 11,6 - 11,6 - 11,8 - 14,,,,,,,Krill,クリル,11,2,3,!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Rain,雨,Showers,暴雨,,,,1,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,Leopard Eel,レオパードイール,9 - 17,9 - 17,9 - 17,12 - 19,,,,,,,Plump Worm,ファットワーム,14,2,3,!!,Powerful,ストロングフッキング,Yes,Yes,Yes,No,No,Yes,Rain,雨,Showers,暴雨,,,,1,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,Jasperhead,ジャスパーヘッド,15 - 24,10 - 19,15 - 24,15 - 25,,,,,,,Krill,クリル,40,2,3,!!,Powerful,ストロングフッキング,Yes,No,No,Yes,Yes,Yes,Rain,雨,Showers,暴雨,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,Tarnished Shark,ターニッシュシャーク,20 - 37,20 - 37,15 - 32,20 - 37,,,,,,,Plump Worm,ファットワーム,34,2,3,!!!,Powerful,ストロングフッキング,Yes,Yes,Yes,Yes,No,Yes,Rain,雨,Showers,暴雨,,,,2,S,Shark,サメ,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,Rosy Bream,ローズブリーム,12 - 18 ,7 - 13,12 - 18,12 - 18,,,,,,,Krill,クリル,34,3 - 4,5 - 7,!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Rain,雨,Showers,暴雨,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,Cyan Octopus,シアンオクトパス,17 - 28,17 - 28,17 - 28,17 - 28,,,,,,,Krill,クリル,59,4,7,!!,Powerful,ストロングフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Rain,雨,Showers,暴雨,,,,3,,Octopus,オクトパス,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,Heavenswimmer,ヘヴンリーフィッシュ,15 - 25,15 - 25,15 - 25,16 - 25,,,,,,,Ragworm,イワイソメ,50,2,3,!,Precision,プレシジョンフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Rain,雨,Showers,暴雨,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,Spectral Megalodon,スペクトラルメガロドン,20 - 37,20 - 37,20 - 37,21 - 37,,,,,,,Krill,クリル,100,1,1,!!!,Powerful,ストロングフッキング,Yes,Yes,Yes,Yes,Yes,No,Rain,雨,Showers,暴雨,,,,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,ガラディオン湾,I!Drunkfish,ドランカードフィッシュ,,15 - 28,,,,,,,,,Krill,クリル,253,1,1,!!!,Powerful,ストロングフッキング,Yes,Yes,Yes,Yes,Yes,Yes,Rain,雨,Showers,暴雨,,,,4,,,,"(60s) x3 <img class=""iconMini"" src=""../img/fish/Galadion Chovy.png"" alt=""ガラディオンアンチョビ"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""ガラディオンアンチョビ"" tabindex=""0"">",No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
