Stop,StopTranslated,Fish,FishTranslated,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialTypeTranslated,BaitMoochType,BaitMoochTypeTranslated,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherSpecial3,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,WeatherSpecial3Type,WeatherSpecial3TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6
Sirensong,세이렌 해,Deepshade Sardine,그늘정어리,5 - 9,5 - 9,5 - 9,8 - 12,,,,,,,Plump Worm,굵은지렁이,15,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,No,No,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,1,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Sirensong Mussel,세이렌 홍합,4 - 7,4 - 7,4 - 7,8 - 11,,,,,,,Ragworm,바위털갯지렁이,11,3,5,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,1,M,Shellfish,조개,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Arrowhead,화살머리 오징어,9.5 - 18,9.5 - 18,9.5 - 18,12 - 22,,,,,,,Krill,크릴,10,3,5,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,1,Q,Squid,오징어,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Pink Shrimp,분홍새우,13 - 20,8 - 15,13 - 20,13 - 20,,,,,,,Krill,크릴,31,3,5,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,2,H,Shrimp,새우,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Sirensong Mullet,노래숭어,10 - 14,5 - 9,10 - 14,10 - 14,,,,,,,Krill,크릴,42,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,No,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Selkie Puffer,셀키복어,11 - 20,15 - 25,15 - 25,15 - 24,,,,,,,Ragworm,바위털갯지렁이,38,4,7,!,Precision,섬세한 낚아채기,Yes,No,No,Yes,Yes,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,T!Poet's Pipe,시인의 오카리나,17 - 29,18 - 30,18 - 30,18 - 30,,,,,,,Ragworm,바위털갯지렁이,56,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Marine Matanga,바다 마탕가,17 - 27,17 - 27,16 - 26,17 - 27,,,,,,,Plump Worm,굵은지렁이,47,2,3,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,3,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Spectral Coelacanth,유령 실러캔스,15 - 25,15 - 25,15 - 25,15 - 25,,,,,,,Plump Worm,굵은지렁이,100,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,No,Rain,비,Thunderstorms,뇌우,,,,,,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,I!Dusk Shark,어스름상어,,,12 - 23,,,,,,,,Plump Worm,굵은지렁이,263,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Thunderstorms,뇌우,,,,,,4,,,,"(60s) x2 <img class=""iconMini"" src=""../img/fish/Poet_s Pipe.png"" alt=""Poet's Pipe"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Poet's Pipe"" tabindex=""0"">",No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Mermaid Scale,인어비늘,3 - 4,3 - 4,3 - 4,5 - 7,5 - 8,,Mackerel Strip,고등어 살,,,Ragworm,바위털갯지렁이,51,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,M,Shellfish,조개,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Broadhead,넓적머리 오징어,3 - 4,3 - 4,3 - 4,5 - 7,3 - 4,,Mackerel Strip,고등어 살,,,Plump Worm,굵은지렁이,68,4,7,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,No,4,Q,Squid,오징어,,No,Yes,Yes,No,No,Yes,Yes
Sirensong,세이렌 해,Vivid Pink Shrimp,진분홍새우,,5.5 - 8,,7 - 10,6 - 7,,Mackerel Strip,고등어 살,,,Krill,크릴,144,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,No,No,Yes,4,H,Shrimp,새우,,No,No,No,Yes,Yes,No,No
Sirensong,세이렌 해,T!Sunken Coelacanth,심해 실러캔스,3.5 - 6,3.5 - 6,3.5 - 6,6 - 9,3.5 - 6,,Mackerel Strip,고등어 살,,,Plump Worm,굵은지렁이,51,2,3,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Siren's Sigh,세이렌의 한숨,5 - 6,,,6 - 8,5 - 6,,Mackerel Strip,고등어 살,,,Ragworm,바위털갯지렁이,101,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Black-jawed Helicoprion,검은 헬리코프리온,,,5 - 6,6 - 7,5 - 6,,Mackerel Strip,고등어 살,,,Plump Worm,굵은지렁이,102,2,3,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,No,Yes,4,,,,,No,No,No,Yes,Yes,No,No
Sirensong,세이렌 해,Impostopus,눈속임문어,,5 - 6,,6 - 8,5 - 6,,Mackerel Strip,고등어 살,,,Krill,크릴,144,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Jade Mantis Shrimp,비취 갯가재,,3 - 4,,5 - 7,,,Mackerel Strip,고등어 살,,,Krill,크릴,72,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Nymeia's Wheel,니메이아의 물레,,7 - 8,,8,,,Mackerel Strip,고등어 살,,,Krill,크릴,289,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,Yes,No,4,,,,,No,Yes,Yes,No,No,No,No
Sirensong,세이렌 해,F!Taniwha,타니와,,,,,9 - 12,,Mackerel Strip,고등어 살,,,Mackerel Strip,고등어 살,500,1,1,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,No,No,5,,,,"(15s) x3 <img class=""iconMini"" src=""../img/fish/Sunken Coelacanth.png"" alt=""Sunken Coelacanth"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Sunken Coelacanth"" tabindex=""0"">",Yes,No,No,No,No,Yes,Yes
Kugane,쿠가네,Ruby Herring,쿠가네 청어,5 - 9,5 - 9,5 - 9,7 - 12,,10 - 14,,,M!Leopard Prawn,얼룩새우,Krill,크릴,14,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,No,No,,Yes,Rain,비,Showers,폭우,,,,,,1,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,쿠가네,Whirlpool Turban,소용돌이 소라,15 - 29,15 - 29,15 - 29,18 - 32,,,,,,,Ragworm,바위털갯지렁이,10,3,5,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,1,M,Shellfish,조개,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,쿠가네,M!Leopard Prawn,얼룩새우,5 - 9,5 - 9,5 - 9,7 - 12,,,,,,,Ragworm,바위털갯지렁이,10,3,5,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,1,H,Shrimp,새우,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,쿠가네,Spear Squid,한치오징어,17 - 29,17 - 29,12.5 - 24,17 - 29,,,,,,,Plump Worm,굵은지렁이,26,3,5,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,2,Q,Squid,오징어,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,쿠가네,Floating Lantern,등불해파리,11 - 17,11 - 17,6 - 12,11 - 17,,,,,,,Plump Worm,굵은지렁이,37,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,No,,Yes,Rain,비,Showers,폭우,,,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,쿠가네,Rubescent Tatsunoko,얼룩해마,10 - 14,5 - 9,10 - 14,10 - 14,,,,,,,Krill,크릴,33,2,3,!,Precision,섬세한 낚아채기,Yes,No,No,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,2,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,쿠가네,Hatatate,기수 망둥이,10 - 14,11 - 15,11 - 15,11 - 15,,7 - 12,,,M!Leopard Prawn,얼룩새우,Ragworm,바위털갯지렁이,53,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,쿠가네,T!Silent Shark,쥐상어,,,,,,6 - 12,,,M!Leopard Prawn,얼룩새우,M!Leopard Prawn,얼룩새우,35,2,3,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,쿠가네,Spectral Wrasse,환해 놀래기,17 - 29,17 - 29,17 - 29,17 - 29,,,,,,,Krill,크릴,100,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,No,Rain,비,Showers,폭우,,,,,,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,쿠가네,I!Mizuhiki,매듭고기,14 - 26,,,,,,,,,,Ragworm,바위털갯지렁이,263,1,1,!!!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,4,,,,"(60s) x2 <img class=""iconMini"" src=""../img/fish/Silent Shark.png"" alt=""Silent Shark"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Silent Shark"" tabindex=""0"">",No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,쿠가네,M!Snapping Koban,금화 곰치,2 - 3,2 - 3,2 - 3,4 - 6,,2 - 3,,,M!Snapping Koban,금화 곰치,Krill,크릴,62,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,쿠가네,Silkweft Prawn,비단결새우,2 - 3,2 - 3,2 - 3,4 - 6,,,,,,,Ragworm,바위털갯지렁이,58,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,H,Shrimp,새우,,No,Yes,Yes,Yes,Yes,Yes,Yes
Kugane,쿠가네,Stingfin Trevally,독안개전갱이,,5.5 - 8,,7 - 9,,,,,,,Krill,크릴,191,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,No,No,4,,,,,No,No,No,Yes,Yes,No,No
